time,x1,y1,x2,y2,theta1,theta2,L1,L2,normalized_overlap,energy,total_angular_momentum
0.0,-3.0,-0.45,3.0,0.45,0.25,-0.3,0.0,0.0,1.4875354435009646e-05,1.4402324902779926,1.08
0.008,-2.9904000264822144,-0.4500000102569049,2.9904000264822144,0.4500000102569049,0.24999998110810326,-0.30000008595513766,-1.911812624631048e-06,-7.599557603186941e-06,1.5902875587212697e-05,1.4402324902779926,1.0799999999999998
0.016,-2.980800108232425,-0.45000004196793886,2.980800108232425,0.45000004196793886,0.24999992259162765,-0.3000003511023914,-3.96402503323123e-06,-1.568400914980227e-05,1.6997706042517708e-05,1.4402324902779928,1.0799999999999998
0.024,-2.971200248865368,-0.45000009661275114,2.971200248865368,0.45000009661275114,0.24999982154654626,-0.3000008068531467,-6.166341644508533e-06,-2.428232270620188e-05,1.816398999263282e-05,1.440232490277993,1.0800000000000005
0.032,-2.9616004522180113,-0.45000017576776036,2.9616004522180113,0.45000017576776036,0.24999967486854643,-0.30000146529902,-8.529092659340107e-06,-3.342506339042626e-05,1.9406108330974508e-05,1.440232490277993,1.0800000000000003
0.04,-2.9520007223622384,-0.45000028111210294,2.9520007223622384,0.45000028111210294,0.2499994792401456,-0.30000233924926395,-1.1063271213637407e-05,-4.31444727484246e-05,2.0728690931865895e-05,1.440232490277993,1.0800000000000003
0.048,-2.9424010636181874,-0.45000041443392064,2.9424010636181874,0.45000041443392064,0.24999923111704467,-0.30000344227002507,-1.3780572519528083e-05,-5.3474551534249745e-05,2.2136629485622173e-05,1.4402324902779928,1.08
0.056,-2.932801480568277,-0.45000057763700513,2.932801480568277,0.45000057763700513,0.24999892671367782,-0.3000047887255336,-1.6693435087183882e-05,-6.445114600731622e-05,2.3635090909410055e-05,1.4402324902779928,1.0800000000000003
0.064,-2.923201978071958,-0.45000077274781747,2.923201978071958,0.45000077274781747,0.2499985619879163,-0.30000639382130734,-1.981508412303784e-05,-7.611203786154407e-05,2.5229531354119333e-05,1.4402324902779933,1.08
0.07200000000000001,-2.9136025612812055,-0.4500010019229027,2.9136025612812055,0.4500010019229027,0.24999813262488152,-0.3000082736494535,-2.3159577203633258e-05,-8.84970379028175e-05,2.6925710827812512e-05,1.440232490277993,1.0800000000000003
0.08,-2.904003235656811,-0.4500012674567183,2.904003235656811,0.4500012674567183,0.24999763401982134,-0.30001044523615544,-2.6741852327902077e-05,-0.0001016480835926712,2.872970845661486e-05,1.440232490277993,1.0800000000000003
0.088,-2.8944040069854786,-0.45000157178989864,2.8944040069854786,0.45000157178989864,0.24999706126000035,-0.300012926591435,-3.05777784543122e-05,-0.00011560934057743129,3.0647938404181983e-05,1.4402324902779926,1.08
0.096,-2.88480488139779,-0.45000191751797636,2.88480488139779,0.45000191751797636,0.24999640910555385,-0.30001573676128146,-3.46842086330247e-05,-0.00013042730832321845,3.26871664711089e-05,1.4402324902779933,1.0800000000000003
0.10400000000000001,-2.87520586538705,-0.4500023074005846,2.87520586538705,0.4500023074005846,0.24999567196925218,-0.3000188958822434,-3.907903584696847e-05,-0.00014615092997819284,3.4854527395850904e-05,1.4402324902779933,1.08
0.112,-2.8656069658290746,-0.4500027443711627,2.8656069658290746,0.4500027443711627,0.24999484389512028,-0.3000224252385814,-4.378125167957852e-05,-0.0001628317065842307,3.715754287886718e-05,1.4402324902779926,1.0799999999999998
0.12,-2.856008190002938,-0.450003231547191,2.856008190002938,0.450003231547191,0.24999391853585434,-0.3000263473220816,-4.8811007930829995e-05,-0.00018052381576076805,3.96041403518168e-05,1.440232490277993,1.0799999999999998
0.128,-2.846409545612737,-0.4500037722409803,2.846409545612737,0.4500037722409803,0.24999288912897608,-0.300030685894635,-5.4189681307155914e-05,-0.00019928423498392092,4.220267251367534e-05,1.4402324902779928,1.08
0.136,-2.8368110408104075,-0.4500043699710433,2.8368110408104075,0.4500043699710433,0.2499917484716609,-0.3000354660536875,-5.9939941314834724e-05,-0.00021917286958406226,4.496193765564526e-05,1.440232490277993,1.08
