case_id,speed,phase,phase_over_pi,impact_parameter,event_class,topology_sequence,minimum_component_count,maximum_component_count,final_component_count,activity_duration,activity_impulse,equivalent_time,peak_activity,peak_time
1,0.35,0.0,0.0,0.0,persistent_fusion_candidate,2-1,1,2,1,4.96,4.618061418688315,1.6085368985334365,2.870970148647989,12.0
2,0.35,0.5235987755982988,0.16666666666666666,0.0,persistent_fusion_candidate,2-1,1,2,1,5.6,2.965617922734959,2.175873864525754,1.3629548895663284,12.0
3,0.35,1.0471975511965976,0.3333333333333333,0.0,persistent_fusion_candidate,2-1,1,2,1,5.279999999999999,1.8826633052040926,2.1123713851004453,0.891255826737385,12.0
4,0.35,1.5707963267948966,0.5,0.0,persistent_fusion_candidate,2-1,1,2,1,2.879999999999999,3.4429955659116276,1.505536673846674,2.2868892041764153,12.0
5,0.35,2.0943951023931953,0.6666666666666666,0.0,two_component_scattering,2,2,2,2,4.0,5.865191104697858,1.9109336797907217,3.069280303511209,12.0
6,0.35,2.6179938779914944,0.8333333333333334,0.0,two_component_scattering,2,2,2,2,4.4799999999999995,7.378945775272846,2.1327112228512477,3.4598897854571438,12.0
7,0.35,3.141592653589793,1.0,0.0,two_component_scattering,2,2,2,2,4.64,7.915862843609002,2.1959989941718,3.60467507709146,12.0
8,0.55,0.0,0.0,0.0,persistent_fusion_candidate,2-1,1,2,1,4.16,31.3038758022699,3.6847219995981293,8.495586859927025,9.6
9,0.55,0.5235987755982988,0.16666666666666666,0.0,persistent_fusion_candidate,2-1,1,2,1,4.16,24.44704460357683,3.5301706989302803,6.925173508177615,9.92
10,0.55,1.0471975511965976,0.3333333333333333,0.0,persistent_fusion_candidate,2-1-2-1,1,2,1,4.8,11.170397576146238,3.027493663343469,3.6896518435021273,11.040000000000001
11,0.55,1.5707963267948966,0.5,0.0,fusion_fission_scattering,2-1-2,1,2,2,5.92,5.855192292108487,3.7722889998484703,1.5521589921513663,8.16
